epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8277,0.7697,2.52823,0.94322,1,0.1346,0.48731,0.39703,0.71527,3.0413,0.87568,0.000407197,0.000407197,0.000407197
2,36.9543,0.763,1.36986,0.92659,0.77504,0.45803,0.65825,0.49676,0.87515,2.40728,0.95579,0.000791239,0.000791239,0.000791239
3,53.856,0.79231,1.26179,0.94422,0.62086,0.55643,0.66134,0.51249,0.83576,1.9216,0.99273,0.00114228,0.00114228,0.00114228
4,70.7211,0.77879,1.16457,0.94512,0.71652,0.69775,0.70758,0.49793,0.81663,1.22461,1.01513,0.0011015,0.0011015,0.0011015
5,87.16,0.70084,0.96902,0.93474,0.90406,0.68545,0.80207,0.62624,0.73941,0.92083,0.94824,0.001052,0.001052,0.001052
6,104.75,0.72954,0.96778,0.93875,0.79298,0.80799,0.82997,0.6557,0.70024,0.76383,0.9355,0.0010025,0.0010025,0.0010025
7,121.38,0.72227,0.85235,0.92911,0.87516,0.74839,0.83333,0.66061,0.71572,0.7174,0.93293,0.000953,0.000953,0.000953
8,138.098,0.6973,0.76217,0.92043,0.94162,0.76332,0.84209,0.67743,0.67698,0.68481,0.91908,0.0009035,0.0009035,0.0009035
9,155.193,0.68639,0.73943,0.91455,0.88537,0.83064,0.88034,0.70326,0.68011,0.70486,0.90341,0.000854,0.000854,0.000854
10,172.003,0.67433,0.70146,0.91363,0.86113,0.82695,0.87799,0.71035,0.6593,0.61563,0.91124,0.0008045,0.0008045,0.0008045
11,188.352,0.64311,0.64547,0.90536,0.8765,0.86406,0.88093,0.68762,0.71692,0.61899,0.91992,0.000755,0.000755,0.000755
12,206.164,0.62744,0.62654,0.90669,0.87486,0.83988,0.88511,0.71252,0.62173,0.56604,0.90081,0.0007055,0.0007055,0.0007055
13,223.027,0.6202,0.57303,0.89899,0.88429,0.848,0.90428,0.71983,0.6538,0.54383,0.90258,0.000656,0.000656,0.000656
14,240.215,0.62447,0.57309,0.89619,0.89174,0.86887,0.89483,0.72086,0.62625,0.5649,0.89656,0.0006065,0.0006065,0.0006065
15,256.712,0.61914,0.54834,0.88758,0.92491,0.8638,0.91162,0.73837,0.62734,0.54304,0.91273,0.000557,0.000557,0.000557
16,277.158,0.59215,0.56791,0.865,0.88423,0.86263,0.90347,0.72485,0.64886,0.5362,0.91135,0.0005075,0.0005075,0.0005075
17,293.596,0.58215,0.53108,0.86311,0.87836,0.90425,0.91287,0.74985,0.6148,0.51061,0.88168,0.000458,0.000458,0.000458
18,309.836,0.58745,0.50262,0.86489,0.9268,0.89956,0.91679,0.75719,0.60231,0.49727,0.88643,0.0004085,0.0004085,0.0004085
19,326.788,0.56184,0.48112,0.85444,0.96015,0.86819,0.90502,0.7653,0.58486,0.49755,0.87421,0.000359,0.000359,0.000359
20,343.348,0.54344,0.46034,0.84173,0.9183,0.87072,0.90018,0.74423,0.59684,0.51116,0.87596,0.0003095,0.0003095,0.0003095
21,359.174,0.53248,0.43531,0.84336,0.92483,0.89511,0.90817,0.75729,0.59443,0.48919,0.87062,0.00026,0.00026,0.00026
22,375.746,0.52182,0.42619,0.83602,0.90713,0.87968,0.9008,0.75513,0.59214,0.49727,0.87447,0.0002105,0.0002105,0.0002105
23,391.304,0.51468,0.41719,0.83275,0.93591,0.86426,0.90644,0.77592,0.56394,0.46119,0.8669,0.000161,0.000161,0.000161
24,407.981,0.50425,0.39538,0.83257,0.93172,0.87586,0.91489,0.76852,0.57117,0.45855,0.87237,0.0001115,0.0001115,0.0001115
25,424.493,0.51586,0.39837,0.83996,0.94401,0.88286,0.92459,0.77296,0.55522,0.42995,0.87185,6.2e-05,6.2e-05,6.2e-05
